geofips,location_name,state,geography_type,year,mode,dest,orig,vmt,dist_within,inflow,outflow
6011,Colusa County,CA,county,2022,CARPOOL,98375362,109481724,103928543,19496887,39439237,44992419
6011,Colusa County,CA,county,2022,COMMERCIAL,118683390,103744067,111213729,11368813,53657289,46187627
6011,Colusa County,CA,county,2022,ON_DEMAND_AUTO,604139,620122,612131,281507,161316,169307
6011,Colusa County,CA,county,2022,OTHER_TRAVEL_MODE,44771091,55284430,50027761,1169869,21800611,27057281
6011,Colusa County,CA,county,2022,PRIVATE_AUTO,246835694,240724312,243780003,57005344,94915175,91859484
6011,Colusa County,CA,county,2022,WALKING,1419510,1409960,1414735,1407712,5899,1124
6011,Colusa County,CA,county,2023,BIKING,504083,501961,503022,414682,44701,43640
6011,Colusa County,CA,county,2023,CARPOOL,66569731,67878933,67224332,17211401,24679165,25333766
6011,Colusa County,CA,county,2023,COMMERCIAL,99157927,97157487,98157707,7457639,45850144,44849924
6011,Colusa County,CA,county,2023,ON_DEMAND_AUTO,120546,66451,93499,14560,52993,25946
6011,Colusa County,CA,county,2023,OTHER_TRAVEL_MODE,20568383,34666548,27617466,651434,9958475,17007557
6011,Colusa County,CA,county,2023,PRIVATE_AUTO,290473564,290055001,290264283,68473105,111000230,110790948
6011,Colusa County,CA,county,2023,WALKING,1141451,1121622,1131536,1119127,11162,1248
6013,Contra Costa County,CA,county,2019,BIKING,66837285,64978378,65907832,51150200,7843542,6914089
6013,Contra Costa County,CA,county,2019,CARPOOL,3947315418,3908031553,3927673486,1747325441,1099994989,1080353056
6013,Contra Costa County,CA,county,2019,COMMERCIAL,679398847,727717502,703558175,282137586,198630631,222789958
6013,Contra Costa County,CA,county,2019,ON_DEMAND_AUTO,68476635,62252955,65364795,18793278,24841679,21729839
6013,Contra Costa County,CA,county,2019,OTHER_TRAVEL_MODE,1561664187,1695783338,1628723763,10502306,775580941,842640516
6013,Contra Costa County,CA,county,2019,PRIVATE_AUTO,7087085062,7108297834,7097691448,3361800405,1862642328,1873248714
6013,Contra Costa County,CA,county,2019,PUBLIC_TRANSIT,259396258,251674089,255535174,41742223,108827018,104965933
6013,Contra Costa County,CA,county,2019,WALKING,99849671,99849540,99849606,98571008,639332,639266
6013,Contra Costa County,CA,county,2021,BIKING,18878337,18707596,18792966,17345492,766422,681052
6013,Contra Costa County,CA,county,2021,CARPOOL,5866027678,5851073770,5858550724,2599140568,1633443555,1625966601
6013,Contra Costa County,CA,county,2021,COMMERCIAL,528597184,512220165,520408674,176381900,176107642,167919132
6013,Contra Costa County,CA,county,2021,ON_DEMAND_AUTO,87779963,121813911,104796937,41876352,22951806,39968779
6013,Contra Costa County,CA,county,2021,OTHER_TRAVEL_MODE,1413332247,1606768051,1510050149,14971403,699180422,795898324
